2024-11-02 22:42:35,416 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Configure stats pid to 24330
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Loading settings from /home/ubec/.config/wandb/settings
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Loading settings from /home/ubec/humanoid-gym/humanoid/wandb/settings
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'scripts/train.py', 'program_abspath': '/home/ubec/humanoid-gym/humanoid/scripts/train.py', 'program': 'scripts/train.py'}
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-02 22:42:35,417 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-02 22:42:35,418 INFO    MainThread:24330 [wandb_init.py:_log_setup():534] Logging user logs to /home/ubec/humanoid-gym/humanoid/wandb/run-20241102_224235-1k92mtu7/logs/debug.log
2024-11-02 22:42:35,418 INFO    MainThread:24330 [wandb_init.py:_log_setup():535] Logging internal logs to /home/ubec/humanoid-gym/humanoid/wandb/run-20241102_224235-1k92mtu7/logs/debug-internal.log
2024-11-02 22:42:35,418 INFO    MainThread:24330 [wandb_init.py:init():621] calling init triggers
2024-11-02 22:42:35,418 INFO    MainThread:24330 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
